Stop ID,Stop Name,Y Coordinate,X Coordinate,Sign Present,Sign Rating,Sign Correctly Aligned,Shelter Present,Shelter Rating,Shelter Type, Shelter Price ,Bench Present,Bench Rating,Bench Type,Surface Under Bench,Bench Divider Divider Present, Bench Price ,Trash Can Present,Trash Can Rating,Trash Can Type, Trashcan Price ,Bike Rack Present,Bike Rack Rating,Lighting Present,Lighting Rating,Landing Pad Present,Landing Pad Rating,Landing Pad Cross Slope,Landing Pad Running,Sidewalk Present,Sidewalk Width,Sidewalk Condition,Manhole,Utility Pole,Electrical Box,Foliage,Other,Passageway,Traffic Signal,Posted Speed Limit,Designated Bus Zone,Painted Curbs,No Parking Signs,Flashing Lights,Other signs and Controls,Curb Ramp,Cross Walk,PedestrianÂ Signal,>2.08% Cross Slope,>5.0% Running Slope,"Clear floor area < 30"" by 48""","<36"" maintained around the shelter",No Wheelchair Access,"Seat Depth: < 20"" or > 24"" length","Seat Height: < 17"" or > 19"" from ground",Signs - GoRaleigh,Signs - GoTriangle,Signs - Wolfline,Signs - GoCary,Signs - GoDurham,Signs - Other,Timetamp
1816,North Ave at Wingate St (SBTS),-78.51209,35.98203,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,No ,N/A,No ,N/A,0,0,No  ,N/A,N/A,No,No,No,No,No,<3',No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No, 07/01/2022 @ 06:53 am
1907,Forest Pines Dr at Rex Hospital North,-78.54496479,35.94776396,Yes,5,Yes,No ,N/A,N/A, $ -   ,Yes,5,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,No ,N/A,0,0,Yes,3' to 5',Fair,No,No,No,No,No,>3',No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No, 06/24/2022 @ 07:36 am
1911,N Wingate St at E Chestnut Ave,-78.507306,35.990819,Yes,5,Yes,No ,N/A,N/A, $ -   ,Yes,4,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,Yes,1,0,0,Yes,3' to 5',Fair,No,No,No,No,Yes,>3',No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No, 07/01/2022 @ 05:41 am
8009,N Person St at E Franklin St,-78.63414,35.79031,Yes,4,Yes,No ,N/A,N/A, $ -   ,Yes,2,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,Yes,3,Pole-mounted, $ 424.00 ,No ,N/A,Yes,4,No ,N/A,0,0,Yes,3' to 5',Poor  ,No,No,No,No,No,>3',Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No, 06/22/2022 @ 08:20 am
1820,Allen Rd at Juniper Ave,-78.50063,35.98222,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,Yes,2,Pole-mounted, $ 424.00 ,No ,N/A,Yes,1,No ,N/A,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, 07/01/2022 @ 09:14 am
8047,Capital Blvd at Hodges St,-78.6124,35.81074,Yes,5,Yes,No ,N/A,N/A, $ -   ,Yes,3,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,Yes,4,Pole-mounted, $ 424.00 ,No ,N/A,No ,N/A,No ,N/A,0,0,Yes,3' to 5',Fair,No,No,No,No,No,>3',Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No, 06/20/2022 @ 06:27 am
1822,Wait Ave at Highgate Dr,-78.50404,35.97711,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,5,No ,N/A,0,0,Yes,3' to 5',Fair,No,Yes,No,No,Yes,>3',No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, 07/01/2022 @ 06:12 am
1823,Roosevelt Ave at Brooks St,-78.50776,35.97868,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,No ,N/A,0,0,Yes,3' to 5',Fair,No,No,No,Yes,No,>3',No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, 07/01/2022 @ 06:21 am
1824,White St at Jones Ave,-78.5098,35.97823,Yes,4,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,4,No ,N/A,0,0,Yes,5' or greater,Good,No,No,No,Yes,No,>3',No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, 06/23/2022 @ 10:48 am
8051,Wake Forest Rd at Brookside Dr,-78.62566,35.80001,Yes,4,Yes,No ,N/A,N/A, $ -   ,Yes,3,Dirt standalone,Located on Dirt,No Divider, $ 662.00 ,Yes,3,Pole-mounted, $ 424.00 ,No ,N/A,Yes,1,Yes,4,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No, 06/22/2022 @ 03:39 am
1826,Franklin St at Yellow Poplar Ave,-78.510431,35.967538,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,5,No ,N/A,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, 06/23/2022 @ 09:36 am
1830,Main St (1A) at Rogers Rd,-78.52460055,35.95266867,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,No ,N/A,0,0,Yes,3' to 5',Excellent,No,No,No,No,No,>3',No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, 06/23/2022 @ 06:07 am
1831,Main St (1A) at Ligon Mill Rd,-78.53085,35.94998,Yes,5,Yes,No ,N/A,N/A, $ -   ,No ,N/A,N/A,N/A,N/A, $ -   ,No ,N/A,N/A, $ -   ,No ,N/A,Yes,1,No ,N/A,0,0,Yes,3' to 5',Good,No,No,No,No,No,>3',Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No, 06/23/2022 @ 05:43 am
